handle,product_name,SKU (from Shopify),HSN Code,Packaging Length (cm),Packaging Width (cm),Packaging Height (cm),GST Code (%)
swarovski-vibrant-colored-ring-in-925-silver-by-svadezi,Swarovski  vibrant colored Ring in 925 Silver by SVADEZI,,,,,,
star-stud-earring-in-925-silver-by-svadezi,Star Stud earring in 925 silver by SVADEZI,STPS/20649,,,,,
angel-wings-pendant-with-swarovski-zircon-in-925-silver-by-svadezi,Angel Wings Pendant with Swarovski Zircon in 925 Silver by SVADEZI,,,,,,
fresh-water-pearl-earrings-in-925-silver-by-svadezi,Fresh Water Pearl Earrings in 925 Silver by SVADEZI,STPS/8478,,,,,
white-swarovski-zircon-with-green-emerald-in-925-silver-by-svadezi,White Swarovski Zircon with Green Emerald in 925 Silver by SVADEZI,STPS/20487,,,,,
swarovski-zircon-and-mother-of-pearl-butterfly-pendant-in-925-silver-by-svadezi,Swarovski Zircon and Mother of Pearl Butterfly Pendant in 925 Silver by SVADEZI,,,,,,
love-zirconium-rose-gold-pendant-in-925-silver-by-svadezi,Love Zirconium (Rose Gold) Pendant in 925 Silver by SVADEZI,,,,,,
natures-simplicity-5a-grade-zirconium-earrings-in-925-silver-by-svadezi,Nature's simplicity 5A Grade Zirconium Earrings in 925 Silver by SVADEZI,STPS/19918,,,,,
lovely-heart-earrings-in-925-silver-by-svadezi,Lovely Heart Earrings in 925 Silver by SVADEZI,STPS/19884,,,,,
exclusive-tennis-5a-zircons-earrings-in-925-silver-by-svadezi,Exclusive Tennis 5A Zircons Earrings in 925 Silver by SVADEZI,STPS/18038,,,,,
celestial-elegance-angel-chain-pendant-in-925-silver-by-svadezi,Celestial Elegance Angel Chain Pendant in 925 Silver by SVADEZI,SCH/14815,,,,,
back-pearl-nestled-pendant-in-925-silver-by-svadezi,Back Pearl nestled pendant in 925 Silver by SVADEZI,SCH/13784,,,,,
rose-gold-mother-of-pearl-sleek-pendant-in-925-silver-by-svadezi,Rose Gold Mother of Pearl Sleek Pendant in 925 Silver by SVADEZI,SCH/16202,,,,,
overlap-contemporary-twist-pendant-in-925-silver-by-svadezi,Overlap Contemporary Twist Pendant in 925 Silver by SVADEZI,SCH/14955,,,,,
rotating-moonstone-pendant-in-925-silver-by-svadezi,Rotating Moonstone pendant in 925 Silver by SVADEZI,SCH/17698,,,,,
charming-bow-fresh-water-pearl-earrings-in-925-silver-by-svadezi,Charming bow Fresh Water pearl Earrings in 925 Silver by SVADEZI,STPS/16989,,,,,
magnetic-butterfly-pendant-in-925-silver-by-svadezi,Magnetic ButterFly Pendant in 925 Silver by SVADEZI,SCH/16276,,,,,
butterflies-in-vibrant-multi-colors-in-925-silver-by-svadezi,Butterflies in Vibrant multi-colors in 925 Silver by SVADEZI,SCH/18100,,,,,
rotating-moon-stone-adjustable-ring-in-925-silver-in-svadezi,Rotating moon stone Adjustable Ring in 925 Silver in SVADEZI,SLR92/26250,,,,,
